2	0	0	0.816667
2.2	0	0	0.815338
2.4	0	0	0.815338
2.8	1	1	0.560046
3	1	2	0.558522
3.2	17	9	0.509561
3.4	23	19	0.544163
3.6	39	40	0.544184
3.8	56	44	0.535492
4	94	61	0.517992
4.2	127	105	0.533871
4.4	152	158	0.534415
4.6	179	206	0.529614
4.8	216	388	0.494122
5	284	483	0.498372
5.2	428	1175	0.437574
5.4	495	1517	0.421019
5.6	784	2344	0.425505
5.8	1125	1996	0.490552
6	1533	2364	0.504867
